use,ID,year,birdID,plot,hemd,phem,strmwi,expr,exps,leaflit,wdfl,wat,decgv,evergv,treeb,du1,can0_1.5,can1.5_5,can5_15,can15
1,1,1,PasaDoble,A,0.72,0.24,11.5,70,0,0,2,20,0,0,0,1,0.11,0.89,0.67,0.11
1,2,1,PasaDoble,B,0.68,0.29,12,5,0,30,8,30,10,2,2,2,0.22,1,0.78,0.44
1,3,1,UBBull,A,0.75,0.48,5,20,2,25,9,25,8,0,0,1,0.11,0.56,1,1
1,4,1,UBBull,B,0.72,0.32,12.5,20,7,5,3,30,8,0,10,1,0,0.67,0.78,0.22
1,5,1,Sleepy,A,0.88,0.52,1.6,0,10,15,13,15,40,0,0,2,0,0,0.44,0.89
1,6,1,Sleepy,B,0.9,0.24,1.8,16,5,16,20,25,5,0,0,1,0,0.56,0.89,1
1,7,1,Twist,A,0.35,0.44,1.7,30,0,10,3,10,25,0,3,2,0,1,0.67,0.22
1,8,1,Twist,B,0.22,0.48,0.2,15,0,20,5,0,50,5,5,1,0.56,0.78,1,0.89
1,9,1,Pat,A,0.68,0.44,9.6,50,0,0,0,33,13,0,0,1,0,0.56,0.56,0
1,10,1,Pat,B,0.43,0.5,10,45,0,0,1,52,0,0,0,1,0,0.33,0.22,0
1,11,1,UBOffice,A,0.17,0.19,12,25,0,20,10,20,1,0,8,2,0.22,1,0.89,0.56
1,12,1,UBOffice,B,0.57,0.62,11.7,30,2,5,2,30,12,5,4,2,0.11,0.67,0.78,0.67
1,13,1,MrDorsey,A,0.37,0.26,15,27,1,5,10,33,2,0,0,2,0,0.89,0.89,0.22
1,14,1,MrDorsey,B,0.77,0.63,3.8,27,5,22,20,7,3,1,0,1,0.11,0.78,0.89,0.44
1,15,1,Tonto,A,0.75,0.23,3.1,13,10,15,17,20,18,0,0,1,0.22,0.44,0.67,1
1,16,1,Tonto,B,0.77,0.55,3.1,20,15,5,10,25,10,5,0,1,0.11,0.44,0.78,0.78
1,17,1,JuanPablo,A,0.63,0.4,4.7,10,0,5,15,20,25,15,0,2,0.67,0.56,0.22,0.56
1,18,1,JuanPablo,B,0.82,0.39,5.2,20,0,10,10,10,30,15,0,2,0.78,0.33,0.44,1
1,19,1,Whitenoise,A,0.78,0.41,3.3,5,10,20,15,25,15,0,0,2,0.33,0.67,0.78,0.89
1,20,1,Whitenoise,B,0.48,0.35,4,72,0,1,2,7,15,0,0,1,0.11,0.33,0.44,0.33
1,21,1,Dougie,A,0.8,0.26,1.1,5,0,25,15,20,8,5,0,2,0.44,0.56,0.78,0.78
1,22,1,Dougie,B,0.8,0.32,18.8,22,0,0,7,40,10,0,0,1,0.11,0.89,0.78,0.67
1,23,1,Lindy,A,0.73,0.32,4.4,10,0,7,17,18,15,20,0,2,0.44,0.56,0.56,0.56
1,24,1,Lindy,B,0.53,0.19,11.1,10,0,15,5,35,5,10,0,2,0.22,0.89,0.89,0.56
1,25,1,Boogie,A,0.62,0.33,9.9,15,8,8,3,35,5,0,7,1,0,0.56,0.78,0.44
1,26,1,Boogie,B,0.63,0.36,11.8,3,2,13,4,45,20,0,2,1,0,1,0.78,0.44
1,27,1,Timber,A,0.85,0.32,2.5,20,5,10,23,15,15,2,0,2,0.44,0.44,0.67,0.67
1,28,1,Timber,B,0.73,0.33,7.8,15,0,1,5,45,10,4,0,2,0.11,0.89,0.89,0.33
1,29,1,Obafemi,A,0.67,0.18,9,30,3,10,10,17,8,1,5,1,0.11,0.78,0.78,0.56
1,30,1,Obafemi,B,0.68,0.42,6,10,3,12,10,40,3,0,2,2,0.22,0.67,1,0.78
1,31,1,Hopscotch,A,0.72,0.45,7.9,10,0,4,10,40,10,1,0,1,0.11,0.56,1,1
1,32,1,Hopscotch,B,0.68,0.34,7.2,25,3,2,3,30,2,0,10,1,0,0.44,0.89,0.78
1,33,1,Freddie,A,0.72,0.23,2.7,20,0,25,4,20,5,0,10,2,0.22,0.89,0.78,1
1,34,1,Freddie,B,0.68,0.26,8,10,0,12,8,33,10,5,0,1,0.22,0.89,0.89,0.44
1,35,1,Ron,A,0.82,0.27,4.2,18,13,17,23,12,0,5,8,2,0,0.67,0.89,0.67
1,36,1,Ron,B,0.83,0.42,9,9,5,7,15,48,1,5,0,2,0,0.56,0.89,0.78
1,37,1,Watery,A,0.68,0.2,5.4,3,10,16,21,22,10,8,0,2,0.44,0.44,0.78,1
1,38,1,Watery,B,0.43,0.24,6.5,19,5,0,5,40,18,8,1,1,0.11,0.89,1,0.22
1,39,1,Carl,A,0.42,0.55,8.5,2,5,5,7,70,9,0,1,2,0.56,1,0.89,0.11
1,40,1,Carl,B,0.45,0.44,4.3,2,65,1,8,18,2,1,2,2,0.11,1,0.89,0.56
1,41,1,George ,A,0.67,0.06,4.2,10,0,15,7,40,1,12,3,2,0.67,0.78,1,0.78
1,42,1,George ,B,0.73,0.15,4.5,0,0,27,6,30,1,27,0,2,0.44,0.89,0.89,0.56
1,43,1,Cheryl,A,0.75,0.16,7,7,0,15,11,65,0,2,0,2,0.22,0.78,1,0.78
1,44,1,Cheryl,B,0.77,0.18,3.6,15,0,45,12,20,1,0,0,2,0.44,0.33,0.78,1
1,45,2,Durham,A,0.7,0.41,10.2,12,0,7,3,28,8,2,7,2,0.11,0.56,0.56,0.78
1,46,2,Durham,B,0.78,0.24,12.6,40,5,2,5,10,12,3,3,2,0.11,0.67,0.89,0.78
1,47,2,Sleepy,A,0.8,0.52,5.9,3,0,20,22,30,10,0,0,2,0.33,0.22,0.56,0.89
1,48,2,Sleepy,B,0.87,0.26,2.3,10,0,34,8,15,10,15,3,1,0.89,0.56,0.56,1
1,49,2,Twist,A,0.63,0.21,8.5,20,5,0,15,20,25,5,2,1,0.44,0.56,0.56,0.11
1,50,2,Twist,B,0.82,0.31,12.8,5,0,8,7,35,10,5,5,2,0.11,0.56,0.89,0.78
1,51,2,Nola,A,0.5,0.56,12.5,75,0,0,0,15,5,0,0,2,0.22,0.33,0.44,0.22
1,52,2,Nola,B,0.67,0.63,19.6,45,0,5,17,15,3,0,5,2,0.22,0.33,0.89,0.67
1,53,2,UBOffice,A,0.57,0.62,9.8,45,10,5,3,6,10,3,0,2,0.22,0.44,0.78,0.56
1,54,2,UBOffice,B,0.53,0.42,11.8,25,2,3,2,12,30,1,0,1,0.44,0.56,1,0.33
1,55,2,KyloRen,A,0.7,0.13,8,8,0,0,2,70,15,0,0,1,0.33,0.22,0.56,0.33
1,56,2,KyloRen,B,0.7,0.59,1.3,10,28,12,5,15,10,3,3,1,0.11,0.22,0.89,1
1,57,2,Tonto,A,0.82,0.52,0.4,10,15,13,12,10,30,0,0,1,0.56,0.56,0.44,0.78
1,58,2,Tonto,B,0.78,0.23,3,5,2,5,13,40,25,0,5,1,0.67,0.67,0.67,1
1,59,2,JuanPablo,A,0.68,0.45,4.9,12,0,3,13,20,11,30,1,2,0.22,0.22,0.78,1
1,60,2,JuanPablo,B,0.72,0.52,6.9,35,0,5,3,20,15,4,3,2,0.11,0.22,1,0.89
1,61,2,LilMuck,A,0.63,0.42,3.2,63,2,0,2,10,10,2,4,1,0,0.22,1,1
1,62,2,LilMuck,B,0.6,0.39,3.1,5,12,15,10,23,30,0,0,1,0.11,0,0.67,0.78
1,63,2,Snappy,A,0.72,0.22,6.4,12,0,5,10,30,8,17,0,2,0.89,0.78,0.67,0.56
1,64,2,Snappy,B,0.68,0.29,13,20,0,10,4,42,5,11,0,2,0.67,0.44,0.78,0.11
1,65,2,Raybuck,A,0.9,0.32,4,5,0,0,8,30,30,5,0,2,0.33,0.44,0.56,1
1,66,2,Raybuck,B,0.55,0.39,2.9,15,0,7,10,15,12,15,3,2,0.44,0.33,0.89,0.78
1,67,2,Lindy,A,0.73,0.43,2.6,8,0,12,12,18,7,30,0,2,0.44,0.56,0.67,1
1,68,2,Lindy,B,0.58,0.31,17.6,7,0,16,10,40,10,5,0,2,0.22,0.56,0.89,0.67
1,69,2,Boogie,A,0.77,0.23,11.1,10,0,15,5,40,12,0,2,1,0.11,0.67,1,0.44
1,70,2,Boogie,B,0.6,0.14,8.7,30,0,0,3,55,10,0,0,2,0.33,0.44,0.56,0.22
1,71,2,UBFlint,A,0.82,0.33,7.5,12,3,8,10,30,5,5,5,2,0.22,0.33,0.78,0.56
1,72,2,UBFlint,B,0.67,0.35,12.2,10,3,5,10,35,20,0,3,1,0.44,0.56,0.78,0.89
1,73,2,Obafemi,A,0.77,0.34,11.6,3,0,8,0,40,8,30,0,2,0.67,0.67,0.89,0.56
1,74,2,Obafemi,B,0.78,0.29,5.6,5,0,20,5,40,10,2,3,1,0.44,0.78,0.89,0.78
1,75,2,Hopscotch,A,0.8,0.28,5.9,0,5,15,13,35,2,17,5,2,0.56,0.11,0.89,0.78
1,76,2,Hopscotch,B,0.75,0.47,10.5,5,5,5,2,46,5,10,7,2,0.33,0.56,0.89,0.56
1,77,2,Nestling,A,0.82,0.14,5.7,15,2,10,15,27,5,8,3,2,0.22,0.67,0.78,0.78
1,78,2,Nestling,B,0.78,0.29,8.1,3,0,18,8,45,5,7,0,2,0.78,0.56,0.89,0.89
1,79,2,Ron,A,0.88,0.42,3.7,8,0,5,5,25,10,15,0,2,0.33,0.11,0.89,0.89
1,80,2,Ron,B,0.78,0.46,12.4,8,0,0,5,75,0,0,0,2,0.22,0.33,0.56,1
1,81,2,Watery,A,0.55,0.24,5.1,10,2,3,0,60,12,5,2,1,0.33,0.44,1,0.44
1,82,2,Watery,B,0.65,0.45,6.2,5,5,14,24,36,0,2,8,2,0.56,0.56,0.67,1
1,83,2,Carl,A,0.72,0.28,2.3,2,10,10,7,28,20,20,0,1,0.44,0.78,1,0.67
1,84,2,Carl,B,0.57,0.74,7.6,3,10,5,13,45,8,9,0,2,0.78,0.89,0.78,0.33
1,85,2,UBPinkroot,A,0.8,0.16,1.5,3,0,17,5,15,5,50,0,2,0.56,0.78,1,0.56
1,86,2,UBPinkroot,B,0.77,0.2,4.8,8,2,8,15,45,0,17,2,2,0.89,0.67,0.89,0.56
1,87,2,Mud,A,0.7,0.31,6,7,5,13,10,40,0,20,0,2,0.33,0.33,1,0.33
1,88,2,Mud,B,0.5,0.05,2.3,0,5,22,3,45,2,10,3,2,0.33,0.89,1,0.33
1,89,2,DirtyDog,A,0.68,0.19,1.5,3,0,29,3,20,0,40,0,2,0.78,0.89,1,0.78
1,90,2,DirtyDog,B,0.7,0.24,5.5,20,3,2,3,30,10,15,0,2,0.56,0.67,1,0.78
1,91,2,MelloYello,A,0.7,0.39,5.4,5,0,15,12,40,3,15,3,2,0.89,0.78,0.89,0.78
1,92,2,MelloYello,B,0.77,0.37,4.5,7,0,5,10,45,3,13,0,2,0.89,0.67,0.67,0.22
,,,,,,,,,,,,,,,,,,,,
